,Datum,year,dairy_date,tweet
0," Kometennacht 17./18. Mai""",1910," Kometennacht 17./18. Mai"" 1910","Mit Blei, seiner Frau und seinem Kind beisammengewesen, mich aus mir heraus zeitweilig gehört, wie das Winseln einer jungen Katze beiläufig, aber immerhin. Wieviel Tage sind wieder stumm vorüber; heute ist der"
1,28. Mai,1910,28. Mai 1910,"Habe ich nicht einmal die Entschlossenheit, diesen Federhalter, dieses Stück Holz täglich in die Hand zu nehmen. Ich glaube schon, daß ich sie nicht habe. Ich rudere, reite, schwimme, liege in der Sonne."
2,19. Juli 1910,1910,19. Juli 1910 1910,"geschlafen, aufgewacht, geschlafen, aufgewacht, elendes Leben. Oft überlege ich es und lasse den Gedanken ihren Lauf, ohne mich einzumischen, und immer, wie ich es auch wende, komme ich zum Schluß, daß mir in manchem meine Erziehung schrecklich geschadet hat."
3,6. November,1910,6. November 1910, Conférence einer Madame Ch. über Musset. Jüdische Frauengewohnheit des Schmatzens.
4,7. November,1910,7. November 1910, Vortrag Wieglers über Hebbel. Sitzt auf der Bühne in der Dekoration eines modernen Zimmers, als ob seine Geliebte durch eine Tür hereinspringen würde, um das Stück endlich zu beginnen. Nein, er trägt vor. Hunger Hebbels. Kompliziertes Verhältnis zu Elisa Lensing.
5,15. November,1910,15. November 1910, zehn Uhr. Ich werde mich nicht müde werden lassen. Ich werde in meine Novelle hineinspringen und wenn es mir das Gesicht zerschneiden sollte.
6,16. November,1910,16. November 1910, zwölf Uhr. Ich lese ›Iphigenie auf Tauris‹. Darin ist wirklich, von einzelnen offen fehlerhaften Stellen abgesehen, die ausgetrocknete deutsche Sprache im Munde eines reinen Knaben förmlich anzustaunen
7,27. November,1910,27. November 1910, Bernhard Kellermann hat vorgelesen. »Einiges Ungedruckte aus meiner Feder«, so fing er an. Scheinbar ein lieber Mensch, fast graues, stehendes Haar, mit Mühe glatt rasiert, spitze Nase, über die Backenknochen geht das Wangenfleisch oft wie eine Welle auf und ab.
8,15. Dezember,1910,15. Dezember 1910,"Meinen Folgerungen aus meinem gegenwärtigen, nun schon fast ein Jahr dauernden Zustand glaube ich einfach nicht, dazu ist mein Zustand zu ernst. Ich weiß ja nicht einmal, ob ich sagen kann, daß es kein neuer Zustand ist."
9,16. Dezember,1910,16. Dezember 1910,"Ich werde das Tagebuch nicht mehr verlassen. Hier muß ich mich festhalten, denn nur hier kann ich es. Gerne möchte ich das Glücksgefühl erklären, das ich von Zeit zu Zeit wie ebenjetzt in mir habe."
10,17. Dezember,1910,17. Dezember 1910,"Zeno sagte auf eine dringliche Frage hin, ob denn nichts ruhe: Ja, der fliegende Pfeil ruht. Wenn die Franzosen ihrem Wesen nach Deutsche wären, wie würden sie dann erst von den Deutschen bewundert sein."
11,18. Dezember,1910,18. Dezember 1910,
12,19. Dezember,1910,19. Dezember 1910,"Im Bureau zu arbeiten angefangen. Nachmittag bei Max. Ein wenig Goethes Tagebücher gelesen. Die Ferne hält dieses Leben schon beruhigt fest, diese Tagebücher legen Feuer dran."
13,20. Dezember,1910,20. Dezember 1910,"Womit entschuldige ich die gestrige Bemerkung über Goethe (die fast so unwahr ist wie das von ihr beschriebene Gefühl, denn das wirkliche ist von meiner Schwester vertrieben worden)? Mit nichts. Womit entschuldige ich, daß ich heute noch nichts geschrieben habe?"
14,21. Dezember,1910,21. Dezember 1910,
15,22. Dezember,1910,22. Dezember 1910,"Heute wage ich es nicht einmal, mir Vorwürfe zu machen. In diesen leeren Tag hineingerufen hätte das einen ekelhaften Widerhall."
16,24. Dezember,1910,24. Dezember 1910,"Jetzt habe ich meinen Schreibtisch genauer angeschaut und eingesehn, daß auf ihm nichts Gutes gemacht werden kann."
17,25. Dezember,1910,25. Dezember 1910,"aus dem offenen Fach unter dem Tischaufsatz hervor Broschüren alter Zeitungen, Kataloge, Ansichtskarten, Briefe, alle zum Teil zerrissen, zum Teil geöffnet, in Form einer Freitreppe hervorkommen, dieser unwürdige Zustand verdirbt alles."
18,26. Dezember,1910,26. Dezember 1910,"Zweieinhalb Tage war ich – allerdings nicht vollständig – allein und schon bin ich, wenn auch nicht verwandelt, so doch auf dem Wege. Das Alleinsein hat eine Kraft über mich, die nie versagt."
19,27. Dezember,1910,27. Dezember 1910,"Meine Kraft reicht zu keinem Satz mehr aus. Ja, wenn es sich um Worte handeln würde, wenn es genügte, ein Wort hinzusetzen und man sich wegwenden könnte im ruhigen Bewußtsein, dieses Wort ganz mit sich erfüllt zu haben."
20,28. Dezember,1910,28. Dezember 1910,"Wenn ich mich ein paar Stunden menschlich benommen habe, wie heute mit Max und später bei Baum, bin ich vor dem Schlafengehen schon hochmütig. """"»Ich will mich verabschieden.« Bei dem plötzlichen Reden flog mir etwas Speichel als schlechtes Vorzeichen aus dem Mund."
21,4. Januar,1910,4. Januar 1910,"›Glaube und Heimat‹ von Schönherr. Die nassen Finger der Galeriebesucher unter mir, die sich die Augen wischen."
22,6. Januar,0,6. Januar 0,"»Du«, sagte ich, zielte und gab ihm einen kleinen Stoß mit dem Knie, »jetzt geh ich aber."
23,7. Januar,1911,7. Januar 1911,"N.s Schwester, die in ihren Bräutigam so verliebt ist, daß sie es so einzurichten sucht, mit jedem Besucher einzeln zu reden, da man sich dem einzelnen gegenüber besser über seine Liebe aussprechen und wiederholen kann."
24,12. Januar,1911,12. Januar 1911,"Ich habe vieles in diesen Tagen über mich nicht aufgeschrieben, teils aus Faulheit (ich schlafe jetzt so viel und fest bei Tag, ich habe während des Schlafes ein größeres Gewicht), teils aber auch aus Angst, meine Selbsterkenntnis zu verraten."
25,14. Januar,1911,14. Januar 1911,"Roman ›Eheleute‹ von Beradt. Viel schlechtes Jüdisches. Ein plötzliches einförmiges neckisches Auftreten des Autors, zum Beispiel alle waren lustig, aber einer war da, der war nicht lustig."
26,17. Januar,1911,17. Januar 1911,Max hat mir den ersten Akt des ›Abschieds von der Jugend‹ vorgelesen.
27,19. Januar,1911,19. Januar 1911,
28,19. Februar,1911,19. Februar 1911,"Wie ich heute aus dem Bett steigen wollte, bin ich einfach zusammengeklappt. Es hat das einen sehr einfachen Grund, ich bin vollkommen überarbeitet. Nicht durch das Bureau, aber durch meine sonstige Arbeit."
29,19. Februar,1911,19. Februar 1911,
30,20. Februar,1911,20. Februar 1911,"Mella Mars in der ›Lucerna‹. Eine witzige Tragödin, die gewissermaßen auf einer verkehrten Bühne so auftritt, wie sichTragödinnen manchmal hinter der Szene zeigen."
31,21. Februar,1911,21. Februar 1911,"Mein Leben hier ist so, als wäre ich eines zweiten Lebens ganz gewiß, so wie ich zum Beispiel den mißlungenen Aufenthalt in Paris im Hinblick darauf verschmerzte, daß ich danach streben werde, bald wieder hinzukommen."
32,26. März,1911,26. März 1911,"Theosophische Vorträge des Dr. Rudolf Steiner, Berlin."
