,Datum,Result
0,16. Dezember 1910,['über Hauptmanns ›Die Jungfern vom Bischofsberg‹.']
1,18. Mai,"['Mit Blei, seiner Frau und seinem Kind beisammengewesen, mich aus mir heraus zeitweilig gehört, wie das Winseln einer jungen Katze beiläufig, aber immerhin.', 'Wieviel Tage sind wieder stumm vorüber; heute ist der']"
2,28. Mai,"['Habe ich nicht einmal die Entschlossenheit, diesen Federhalter, dieses Stück Holz täglich in die Hand zu nehmen.', 'Ich glaube schon, daß ich sie nicht habe.', 'Ich rudere, reite, schwimme, liege in der Sonne.']"
3,19. Juli 1910,"['geschlafen, aufgewacht, geschlafen, aufgewacht, elendes Leben.', 'VarianteOft überlege ich es und lasse den Gedanken ihren Lauf, ohne mich einzumischen, und immer, wie ich es auch wende, komme ich zum Schluß, daß mir in manchem meine Erziehung schrecklich geschadet hat.']"
4,6. November,"['Conférence einer Madame Ch.', 'über Musset.', 'Jüdische Frauengewohnheit des Schmatzens.']"
5,7. November,"['Vortrag WieglersPaul Wiegler, der Übersetzer der ›Moralités légendaires‹ von Jules Laforgue.', 'Diese Übersetzung, später auch das Original, wurde für Kafka und mich zu einem großen Erlebnis.', 'Der starke Einfluß der Verse Laforgues ist auch in einigen Gedichten Werfels fühlbar.']"
6,15. November,"['zehn Uhr.', 'Ich werde mich nicht müde werden lassen.', 'Ich werde in meine Novelle hineinspringen und wenn es mir das Gesicht zerschneiden sollte.']"
7,16. November,"['zwölf Uhr.Ich lese ›Iphigenie auf Tauris‹.', 'Darin ist wirklich, von einzelnen offen fehlerhaften Stellen abgesehen, die ausgetrocknete deutsche Sprache im Munde eines reinen Knaben förmlich anzustaunen.']"
8,27. November,"['Bernhard Kellermann hat vorgelesen.', '»Einiges Ungedruckte aus meiner Feder«, so fing er an.', 'Scheinbar ein lieber Mensch, fast graues, stehendes Haar, mit Mühe glatt rasiert, spitze Nase, über die Backenknochen geht das Wangenfleisch oft wie eine Welle auf und ab.']"
9,15. Dezember,"['Meinen Folgerungen aus meinem gegenwärtigen, nun schon fast ein Jahr dauernden Zustand glaube ich einfach nicht, dazu ist mein Zustand zu ernst.', 'Ich weiß ja nicht einmal, ob ich sagen kann, daß es kein neuer Zustand ist.']"
